Time,Entity2,Entity2,Entity2,Entity2,Entity2,Entity2,Entity1,Entity1,Entity1,Entity1,Entity1,Entity1,Entity0,Entity0,Entity0,Entity0,Entity0,Entity0,Entity4,Entity4,Entity4,Entity4,Entity4,Entity4,Entity3,Entity3,Entity3,Entity3,Entity3,Entity3
36.500015,-6328.0625,57157.66,7614.3354,-6.9908023,11.077195,2.726051,-6303.586,40718.105,170.44891,-5.3534503,12.126218,0.05610701,3632.5159,-58505.098,-160.50897,6.5332,-4.629253,-0.062515594,5553.104,-114206.77,5537.109,12.460399,-5.4076433,1.9740044,-7608.8926,155665.27,1437.6868,-16.96768,7.466279,0.51266146
36.600014,-6583.3213,57573.656,7707.5693,-6.9557886,11.65408,2.3679686,-6497.2837,41169.965,172.3561,-5.2296596,12.563976,0.04809545,3873.8752,-58684.48,-162.65913,6.6539555,-5.1747255,-0.054962955,6015.086,-114423.72,5604.602,12.780915,-6.451723,1.7136157,-8237.951,155964.44,1455.2153,-17.402256,8.887955,0.44505256
36.700012,-6837.772,58011.926,7787.822,-6.908735,12.229138,2.0048423,-6686.797,41638.957,173.9725,-5.09655,12.992276,0.03997942,4120.1235,-58884.58,-164.53584,6.7636147,-5.7312455,-0.047295313,6489.709,-114680.11,5662.655,13.080359,-7.52437,1.4495734,-8884.154,156317.33,1470.2928,-17.808134,10.348374,0.3764948
36.80001,-7090.9624,58472.5,7854.846,-6.8496237,12.801349,1.6372652,-6871.759,42124.8,175.29292,-4.954278,13.41029,0.031772256,4370.869,-59105.89,-166.13356,6.861894,-6.2979307,-0.039525125,6976.2456,-114977.17,5711.0884,13.358034,-8.623943,1.1823092,-9546.512,156725.6,1482.8728,-18.18437,11.845304,0.30710027
36.90001,-7342.4365,58955.38,7908.416,-6.7784605,13.36968,1.2658477,-7051.806,42627.188,176.3126,-4.803019,13.817198,0.023487648,4625.708,-59348.887,-167.4472,6.948528,-6.873868,-0.03166522,7473.9375,-115316.08,5749.739,13.613273,-9.74873,0.9122665,-10223.99,157190.83,1492.9126,-18.530058,13.376408,0.23698413
37.000008,-7591.7363,59460.5,7948.3276,-6.6952734,13.933099,0.8912147,-7226.5815,43145.773,177.02731,-4.642967,14.212192,0.015139605,4884.223,-59614.008,-168.47214,7.0232677,-7.458114,-0.023728758,7981.997,-115697.96,5778.458,13.845441,-10.896946,0.6399002,-10915.516,157714.58,1500.3738,-18.84434,14.93926,0.16626444
37.100006,-7838.4023,59987.78,7974.398,-6.600112,14.490562,0.5140059,-7395.7324,43680.18,177.43327,-4.474335,14.594473,0.006742445,5145.9863,-59901.66,-169.2042,7.085885,-8.049699,-0.015729217,8499.606,-116123.88,5797.1143,14.053939,-12.066743,0.36567527,-11619.976,158298.28,1505.2222,-19.1264,16.53134,0.09506197
37.200005,-8081.971,60537.098,7986.4688,-6.4930487,15.041028,0.13487402,-7558.9106,44230.0,177.52728,-4.2973537,14.963254,-0.0016892315,5410.5557,-60212.22,-169.63968,7.136168,-8.647625,-0.0076803733,9025.918,-116594.84,5805.5923,14.238202,-13.2562065,0.09006643,-12336.217,158943.28,1507.4277,-19.375471,18.150043,0.023499966
37.300003,-8321.98,61108.277,7984.4053,-6.3741803,15.583449,-0.24551564,-7715.7734,44794.79,177.30663,-4.112274,15.317764,-0.010140563,5677.4785,-60546.02,-169.7754,7.173928,-9.250871,0.00040371716,9560.057,-117111.77,5803.795,14.397704,-14.46336,-0.18644258,-13063.047,159650.84,1506.9653,-19.590843,19.792679,-0.048295975
37.4,-8557.969,61701.11,7968.0967,-6.2436256,16.116783,-0.6264867,-7865.9873,45374.074,176.76917,-3.919365,15.6572485,-0.018596455,5946.2925,-60903.355,-169.60872,7.1989946,-9.858389,0.008508748,10101.121,-117675.53,5791.642,14.531956,-15.686167,-0.46336,-13799.239,160422.14,1503.814,-19.771854,21.456472,-0.12019816
37.5,-8789.475,62315.34,7937.4575,-6.101527,16.639986,-1.0073525,-8009.227,45967.344,175.91331,-3.7189126,15.980969,-0.0270416,6216.525,-61284.492,-169.13748,7.2112203,-10.469113,0.016620182,10648.1875,-118286.91,5769.0723,14.640511,-16.922535,-0.7401866,-14543.534,161258.27,1497.9579,-19.917898,23.138578,-0.19207697
37.6,-9016.041,62950.67,7892.4287,-5.9480515,17.152025,-1.3874174,-8145.175,46574.06,174.7381,-3.5112224,16.28821,-0.035460506,6487.694,-61689.652,-168.3601,7.2104807,-11.081955,0.024723273,11200.305,-118946.63,5736.043,14.722965,-18.170319,-1.0164167,-15294.639,162160.16,1489.386,-20.028429,24.836073,-0.2638011
37.699997,-9237.211,63606.766,7832.978,-5.783389,17.651873,-1.7659783,-8273.521,47193.65,173.2431,-3.2966175,16.578276,-0.04383753,6759.309,-62119.016,-167.27557,7.1966715,-11.695807,0.032803096,11756.498,-119655.336,5692.5317,14.778958,-19.427319,-1.2915391,-16051.229,163128.69,1478.0924,-20.102959,26.545969,-0.3352378
37.799995,-9452.536,64283.25,7759.0996,-5.607754,18.138508,-2.1423254,-8393.971,47825.51,171.42853,-3.0754375,16.850492,-0.05215689,7030.875,-62572.723,-165.88342,7.1697154,-12.309546,0.04084458,12315.779,-120413.57,5638.534,14.808174,-20.691296,-1.5650378,-16811.955,164164.61,1464.076,-20.14106,28.265213,-0.40625316
37.899994,-9661.57,64979.703,7670.8154,-5.4213843,18.610926,-2.515744,-8506.237,48469.016,169.2952,-2.8480406,17.104218,-0.06040273,7301.887,-63050.87,-164.18378,7.129557,-12.922034,0.048832517,12877.136,-121221.81,5574.067,14.810348,-21.959963,-1.8363935,-17575.443,165268.56,1447.3412,-20.142376,29.990696,-0.4767122
37.999992,-9863.875,65695.66,7568.176,-5.2245417,19.068132,-2.8855155,-8610.048,49123.496,166.84454,-2.6148,17.338827,-0.0685591,7571.838,-63553.516,-162.17737,7.0761666,-13.532122,0.056751613,13439.539,-122080.445,5499.167,14.785259,-23.230993,-2.1050835,-18340.293,166441.06,1427.8976,-20.106613,31.719252,-0.54647934
38.09999,-10059.017,66430.62,7451.259,-5.0175114,19.509151,-3.2509186,-8705.14,49788.266,164.07864,-2.3761067,17.553734,-0.07661003,7840.213,-64080.664,-159.86552,7.0095387,-14.138647,0.0645865,14001.945,-122989.77,5413.8926,14.732739,-24.502028,-2.370584,-19105.082,167682.52,1405.76,-20.03354,33.447674,-0.61541855
38.19999,-10246.572,67184.02,7320.1714,-4.800603,19.933025,-3.6112318,-8791.265,50462.6,161.00021,-2.1323667,17.748377,-0.08453954,8106.4937,-64632.273,-157.25018,6.9296947,-14.740441,0.072321765,14563.295,-123950.0,5318.3213,14.652671,-25.770674,-2.6323702,-19868.37,168993.19,1380.9489,-19.923002,35.172707,-0.68339354
